time_ms,raw,filtered
241205.000000,278141,278141.00
241220.000000,278070,278133.91
241316.000000,277678,278088.31
241413.000000,277107,277990.16
241509.000000,276937,277884.84
241605.000000,277240,277820.38
241702.000000,276983,277736.62
241798.000000,276997,277662.66
241894.000000,276987,277595.09
241991.000000,277249,277560.47
242087.000000,276805,277484.94
242183.000000,276793,277415.75
242280.000000,276952,277369.38
242376.000000,276791,277311.53
242472.000000,276393,277219.69
242569.000000,275941,277091.81
242665.000000,275761,276958.72
242761.000000,275860,276848.84
242858.000000,275163,276680.25
242954.000000,274915,276503.72
243050.000000,274355,276288.84
243147.000000,273557,276015.66
243243.000000,273529,275766.97
243339.000000,273175,275507.78
243436.000000,272810,275238.00
243532.000000,272322,274946.38
243628.000000,272044,274656.12
243725.000000,272331,274423.59
243821.000000,272567,274237.94
243917.000000,272341,274048.25
244014.000000,272751,273918.53
244110.000000,272942,273820.88
244206.000000,272408,273679.59
244302.000000,272393,273550.94
244399.000000,273389,273534.75
244495.000000,273265,273507.78
244591.000000,272691,273426.09
244688.000000,270642,273147.69
244784.000000,270716,272904.50
244880.000000,271732,272787.25
244977.000000,272464,272754.91
245073.000000,272119,272691.31
245169.000000,273314,272753.56
245266.000000,274287,272906.91
245362.000000,275164,273132.59
245458.000000,277743,273593.62
245555.000000,293915,275625.75
245651.000000,356806,283743.78
245747.000000,470224,302391.78
245844.000000,569023,329054.91
245940.000000,638387,359988.09
246036.000000,696022,393591.47
246133.000000,733184,427550.72
246229.000000,751694,459965.03
246325.000000,762148,490183.34
246422.000000,770864,518251.41
246518.000000,761998,542626.06
246614.000000,611713,549534.75
246711.000000,373562,531937.44
246807.000000,285256,507269.28
246903.000000,274790,484021.34
247000.000000,272916,462910.78
247096.000000,270144,443634.09
247192.000000,267462,426016.88
247289.000000,266858,410101.00
247385.000000,269365,396027.38
247481.000000,271299,383554.53
247578.000000,267289,371927.97
247674.000000,256640,360399.16
247770.000000,250205,349379.72
247867.000000,256558,340097.56
247963.000000,249019,330989.72
248059.000000,189959,316886.66
248156.000000,78005,292998.47
248252.000000,-35246,260174.03
248348.000000,-115898,222566.83
248445.000000,-134235,186886.64
248541.000000,-19490,166248.97
248637.000000,183903,168014.36
248734.000000,263617,177574.62
248830.000000,274833,187300.45
248926.000000,274921,196062.50
249023.000000,272893,203745.55
249119.000000,269202,210291.19
249215.000000,274337,216695.77
249312.000000,280616,223087.78
249408.000000,288748,229653.80
249504.000000,321318,238820.20
249601.000000,412064,256144.58
249697.000000,524189,282949.00
249793.000000,603103,314964.41
249890.000000,645003,347968.28
249986.000000,676785,380849.94
250082.000000,698168,412581.75
250179.000000,720624,443385.97
250275.000000,735016,472548.97
250371.000000,640312,489325.25
250468.000000,419175,482310.22
250564.000000,300522,464131.38
250660.000000,281859,445904.12
250757.000000,280695,429383.19
250853.000000,281370,414581.84
250949.000000,281957,401319.34
251046.000000,283005,389487.91
251142.000000,284122,378951.28
251238.000000,286059,369662.06
251335.000000,289683,361664.16
251431.000000,294817,354979.41
251527.000000,306016,350083.06
251624.000000,324236,347498.34
251720.000000,374418,350190.31
251816.000000,446635,359834.78
251913.000000,487519,372603.19
252009.000000,504640,385806.88
252105.000000,513828,398609.00
252202.000000,517461,410494.19
252298.000000,521771,421621.84
252394.000000,526217,432081.34
252491.000000,529863,441859.50
252587.000000,529781,450651.62
252683.000000,528336,458420.03
252780.000000,521892,464767.22
252876.000000,483826,466673.09
252972.000000,375641,457569.88
253069.000000,298864,441699.28
253165.000000,284225,425951.84
253261.000000,281815,411538.16
253358.000000,281886,398572.94
253454.000000,281512,386866.81
253550.000000,281080,376288.12
253646.000000,281234,366782.72
253743.000000,280967,358201.12
253839.000000,280624,350443.41
253935.000000,280793,343478.38
254032.000000,280478,337178.34
254128.000000,280458,331506.31
254224.000000,280533,326409.00
254321.000000,280281,321796.19
254417.000000,280334,317649.97
254513.000000,280594,313944.38
254610.000000,280924,310642.34
254706.000000,280991,307677.19
254802.000000,280859,304995.38
254899.000000,281115,302607.34
254995.000000,281329,300479.50
255091.000000,281346,298566.12
255188.000000,281674,296876.91
255284.000000,282197,295408.91
255380.000000,282032,294071.19
255477.000000,281971,292861.16
255573.000000,282101,291785.12
255669.000000,282647,290871.28
255766.000000,283115,290095.66
255862.000000,283356,289421.69
255958.000000,283403,288819.81
256055.000000,283691,288306.94
256151.000000,283880,287864.25
256247.000000,284033,287481.12
256344.000000,283793,287112.31
256440.000000,283827,286783.78
256536.000000,284285,286533.91
256633.000000,284647,286345.22
256729.000000,284544,286165.09
256825.000000,283955,285944.09
256922.000000,283939,285743.56
257018.000000,283918,285561.00
257114.000000,284316,285436.50
257211.000000,284582,285351.03
257307.000000,284752,285291.12
257403.000000,284725,285234.50
257500.000000,284716,285182.66
257596.000000,284770,285141.41
257692.000000,285034,285130.66
257789.000000,285196,285137.19
257885.000000,285495,285172.97
257981.000000,285336,285189.28
258078.000000,285427,285213.03
258174.000000,285627,285254.41
258270.000000,285974,285326.34
258367.000000,286353,285429.00
258463.000000,286209,285507.00
258559.000000,286159,285572.19
258656.000000,286167,285631.66
258752.000000,286327,285701.19
258848.000000,286508,285781.88
258945.000000,286247,285828.38
259041.000000,286097,285855.22
259137.000000,286395,285909.19
259234.000000,286086,285926.88
259330.000000,286119,285946.09
259426.000000,286346,285986.09
259523.000000,286302,286017.69
259619.000000,286282,286044.09
259715.000000,286595,286099.19
259812.000000,286800,286169.28
259908.000000,286687,286221.03
260004.000000,286934,286292.31
260101.000000,286773,286340.38
260197.000000,286848,286391.12
260293.000000,286664,286418.41
260390.000000,286393,286415.88
260486.000000,286292,286403.47
260582.000000,286374,286400.50
260679.000000,286508,286411.25
260775.000000,286446,286414.72
260871.000000,286676,286440.84
260968.000000,286646,286461.34
261064.000000,286482,286463.41
261160.000000,286019,286418.97
261257.000000,285922,286369.25
261353.000000,286248,286357.12
261449.000000,286475,286368.91
261545.000000,285812,286313.22
261642.000000,285501,286232.00
261738.000000,285672,286176.00
261834.000000,285756,286134.00
261931.000000,285653,286085.91
262027.000000,285656,286042.91
262123.000000,285460,285984.62
262220.000000,285255,285911.66
262316.000000,284950,285815.50
262412.000000,284626,285696.53
262509.000000,284942,285621.06
262605.000000,284490,285507.97
262701.000000,284278,285384.97
262798.000000,284102,285256.66
262894.000000,284034,285134.38
262990.000000,283697,284990.62
263087.000000,283120,284803.56
263183.000000,282790,284602.22
263279.000000,282737,284415.69
263376.000000,282628,284236.91
263472.000000,282529,284066.09
263568.000000,282438,283903.28
263665.000000,282472,283760.16
263761.000000,282569,283641.03
263857.000000,282370,283513.94
263954.000000,282584,283420.94
264050.000000,282763,283355.16
264146.000000,282548,283274.44
264243.000000,282436,283190.59
264339.000000,282188,283090.34
264435.000000,281635,282944.81
264532.000000,281479,282798.22
264628.000000,281320,282650.41
264724.000000,281357,282521.06
264821.000000,281297,282398.66
264917.000000,280641,282222.88
265013.000000,280321,282032.69
265110.000000,280183,281847.72
265206.000000,280097,281672.62
265302.000000,279920,281497.38
265399.000000,279855,281333.12
265495.000000,279433,281143.12
265591.000000,279104,280939.22
265688.000000,278918,280737.09
265784.000000,278259,280489.28
265880.000000,277693,280209.66
265977.000000,277120,279900.69
266073.000000,276615,279572.12
266169.000000,276112,279226.09
266266.000000,275497,278853.19
266362.000000,274872,278455.06
266458.000000,274294,278038.94
266555.000000,274386,277673.62
266651.000000,273998,277306.06
266747.000000,273803,276955.75
266844.000000,273723,276632.47
266940.000000,273809,276350.12
267036.000000,273355,276050.62
267133.000000,273087,275754.25
267229.000000,272822,275461.00
267325.000000,272526,275167.50
267422.000000,272159,274866.66
267518.000000,271791,274559.09
267614.000000,271174,274220.56
267711.000000,270329,273831.41
267807.000000,269910,273439.28
267903.000000,269448,273040.16
268000.000000,268669,272603.03
268096.000000,267852,272127.91
268192.000000,267289,271644.00
268289.000000,266816,271161.19
268385.000000,266062,270651.25
268481.000000,265600,270146.12
268578.000000,265393,269670.81
268674.000000,265010,269204.72
268770.000000,264884,268772.62
268867.000000,264406,268335.97
268963.000000,264009,267903.25
269059.000000,263827,267495.62
269156.000000,263343,267080.38
269252.000000,263270,266699.34
269348.000000,263375,266366.91
269445.000000,263335,266063.72
269541.000000,263235,265780.84
269637.000000,262894,265492.16
269734.000000,262345,265177.44
269830.000000,262236,264883.28
269926.000000,261734,264568.34
270023.000000,261473,264258.81
270119.000000,261549,263987.81
270215.000000,261560,263745.03
270312.000000,261183,263488.81
270408.000000,260981,263238.03
270504.000000,261024,263016.62
270601.000000,260625,262777.47
270697.000000,260377,262537.41
270793.000000,260210,262304.66
270890.000000,260512,262125.39
270986.000000,260613,261974.14
271082.000000,260413,261818.02
271179.000000,260933,261729.50
271275.000000,261376,261694.14
271371.000000,261445,261669.22
271468.000000,262119,261714.20
271564.000000,262526,261795.38
271660.000000,262587,261874.53
271757.000000,262678,261954.88
271853.000000,263005,262059.88
271949.000000,263095,262163.38
272046.000000,262888,262235.84
272142.000000,262618,262274.06
272238.000000,262446,262291.25
272335.000000,262266,262288.72
272431.000000,261812,262241.03
272527.000000,261803,262197.22
272624.000000,261296,262107.08
272720.000000,261153,262011.66
272816.000000,261245,261934.98
272913.000000,261229,261864.39
273009.000000,261291,261807.05
273105.000000,261506,261776.94
273202.000000,261507,261749.94
273298.000000,261542,261729.14
273394.000000,261890,261745.22
273491.000000,262043,261774.98
273587.000000,261930,261790.48
273683.000000,262074,261818.84
273780.000000,262271,261864.05
273876.000000,262831,261960.73
273972.000000,262745,262039.16
274069.000000,262838,262119.03
274165.000000,263063,262213.44
274261.000000,262961,262288.19
274358.000000,262898,262349.16
274454.000000,262678,262382.03
274550.000000,262245,262368.34
274647.000000,262334,262364.91
274743.000000,262045,262332.91
274839.000000,261361,262235.72
274936.000000,261406,262152.75
275032.000000,261832,262120.67
275128.000000,261424,262051.00
275225.000000,261173,261963.19
275321.000000,260777,261844.56
275417.000000,258698,261529.89
275514.000000,257131,261089.98
275610.000000,257238,260704.78
275706.000000,257818,260416.09
275803.000000,257467,260121.19
275899.000000,257706,259879.66
275995.000000,261149,260006.59
276092.000000,265723,260578.22
276188.000000,274676,261987.98
276284.000000,305750,266364.19
276381.000000,394871,279214.88
276477.000000,504292,301722.56
276573.000000,574252,328975.50
276670.000000,609633,357041.25
276766.000000,641800,385517.12
276862.000000,646738,411639.22
276959.000000,508764,421351.69
277055.000000,327626,411979.09
277151.000000,262408,397022.00
277247.000000,256504,382970.19
277344.000000,258204,370493.56
277440.000000,257712,359215.38
277536.000000,255352,348829.03
277633.000000,252251,339171.22
277729.000000,252878,330541.91
277825.000000,255228,323010.53
277922.000000,254323,316141.78
278018.000000,253589,309886.50
278114.000000,245790,303476.84
278211.000000,243225,297451.66
278307.000000,251583,292864.78
278403.000000,251227,288700.97
278500.000000,251607,284991.56
278596.000000,245988,281091.22
278692.000000,236996,276681.69
278789.000000,219947,271008.22
278885.000000,206486,264556.00
278981.000000,189013,257001.69
279078.000000,144044,245705.92
279174.000000,126045,233739.83
279270.000000,147514,225117.25
279367.000000,196502,222255.72
279463.000000,235866,223616.73
279559.000000,253224,226577.47
279656.000000,256471,229566.81
279752.000000,257135,232323.62
279848.000000,227899,231881.16
279945.000000,193612,228054.23
280041.000000,171913,222440.11
280137.000000,157042,215900.30
280234.000000,144817,208791.97
280330.000000,139789,201891.67
280426.000000,135445,195247.00
280523.000000,126752,188397.50
280619.000000,118058,181363.55
280715.000000,138110,177038.19
280812.000000,209641,180298.45
280908.000000,257942,188062.81
281004.000000,263656,195622.12
281101.000000,263298,202389.70
281197.000000,264086,208559.33
281293.000000,263574,214060.80
281390.000000,264916,219146.31
281486.000000,267189,223950.58
281582.000000,271375,228693.02
281679.000000,277795,233603.20
281775.000000,290787,239321.58
281871.000000,306711,246060.52
281968.000000,332512,254705.66
282064.000000,368077,266042.78
282160.000000,404008,279839.31
282257.000000,427313,294586.69
282353.000000,446221,309750.09
282449.000000,478640,326639.06
282546.000000,498602,343835.34
282642.000000,476016,357053.41
282738.000000,399309,361278.97
282835.000000,333322,358483.25
282931.000000,304067,353041.59
283027.000000,293770,347114.44
283124.000000,293811,341784.09
283220.000000,326406,340246.28
283316.000000,390060,345227.66
283413.000000,445557,355260.56
283509.000000,471220,366856.50
283605.000000,480778,378248.66
283702.000000,497664,390190.19
283798.000000,528371,404008.25
283894.000000,546096,418217.00
283991.000000,546332,431028.47
284087.000000,521972,440122.81
284183.000000,431647,439275.22
284280.000000,321709,427518.59
284376.000000,277817,412548.41
284472.000000,266922,397985.75
284569.000000,264594,384646.56
284665.000000,263915,372573.41
284761.000000,266088,361924.88
284858.000000,264043,352136.69
